name,ring,quadrant,isNew,description
Database based integration,Hold,Techniques,FALSE,
Scrum certification,Hold,Techniques,FALSE,
Real-time business intelligence,Assess,Techniques,FALSE,
Smart Systems,Assess,Techniques,TRUE,
Progressive Enhancement,Trial,Techniques,TRUE,
Automation of technical tests,Trial,Techniques,FALSE,
Automate database deployment,Trial,Techniques,TRUE,
Concurrency abstractions and patterns,Trial,Techniques,TRUE,
Capability modeling,Trial,Techniques,FALSE,
Acceptance test of journeys,Trial,Techniques,FALSE,
DevOps,Trial,Techniques,TRUE,
Service choreography,Trial,Techniques,TRUE,
Continuous deployment,Trial,Techniques,FALSE,
Categorization & prioritization of technical debt,Trial,Techniques,TRUE,
Evolutionary architecture,Trial,Techniques,FALSE,
Coding architects,Adopt,Techniques,FALSE,
Visualization and metrics,Adopt,Techniques,FALSE,
Web as platform,Adopt,Techniques,FALSE,
Emergent design,Adopt,Techniques,FALSE,
Evolutionary database,Adopt,Techniques,FALSE,
Platform roadmaps,Adopt,Techniques,FALSE,
Build pipelines,Adopt,Techniques,FALSE,
KVM,Adopt,Platforms,TRUE,
Android,Adopt,Platforms,FALSE,
Atom,Adopt,Platforms,TRUE,
Heroku,Trial,Platforms,TRUE,
Facebook as business platform,Trial,Platforms,FALSE,
iPad,Trial,Platforms,TRUE,
EC2 & S3,Trial,Platforms,FALSE,
Mobile Web,Trial,Platforms,TRUE,
GPGPU,Assess,Platforms,TRUE,
Node.js,Assess,Platforms,TRUE,
vFabric,Assess,Platforms,TRUE,
OpenStack,Assess,Platforms,TRUE,
Application appliances,Assess,Platforms,FALSE,
RDFa,Assess,Platforms,FALSE,
OAuth,Assess,Platforms,FALSE,
App containers,Assess,Platforms,FALSE,
Azure,Assess,Platforms,FALSE,
WS-* beyond basic profile,Hold,Platforms,FALSE,
GWT,Hold,Platforms,FALSE,
RIA,Hold,Platforms,FALSE,
Subversion,Adopt,Tools,FALSE,
Squid,Adopt,Tools,FALSE,
Infrastructure as code,Adopt,Tools,TRUE,
Apache camel,Trial,Tools,FALSE,
Message buses without smarts,Trial,Tools,FALSE,
Next gen test tools,Trial,Tools,FALSE,
Splunk,Trial,Tools,TRUE,
NoSQL,Trial,Tools,FALSE,
Mercurial,Trial,Tools,FALSE,
Git,Trial,Tools,FALSE,
Cross mobile platforms,Assess,Tools,FALSE,
Deltacloud,Assess,Tools,TRUE,
Github,Assess,Tools,FALSE,
Vagrant,Assess,Tools,TRUE,
restfulie,Assess,Tools,FALSE,
WCF HTTP,Assess,Tools,TRUE,
RDF triple stores,Assess,Tools,FALSE,
API management services,Assess,Tools,TRUE,
ESB,Hold,Tools,FALSE,
Ruby,Adopt,languages-and-frameworks,FALSE,
C# 4.0,Adopt,languages-and-frameworks,FALSE,
Jruby,Adopt,languages-and-frameworks,FALSE,
JavaScript as a first-class language,Adopt,languages-and-frameworks,FALSE,
"SASS, SCSS, and LESS",Trial,languages-and-frameworks,TRUE,
DSL's,Trial,languages-and-frameworks,FALSE,
HAML,Trial,languages-and-frameworks,TRUE,
Scala,Trial,languages-and-frameworks,TRUE,
Groovy,Trial,languages-and-frameworks,FALSE,
HTML 5,Trial,languages-and-frameworks,TRUE,
Java language end of life,Assess,languages-and-frameworks,FALSE,
F#,Assess,languages-and-frameworks,FALSE,
Clojure,Assess,languages-and-frameworks,FALSE,
