name,ring,quadrant,isNew,description
Focus on mean time to recovery,Adopt,Techniques,TRUE,
Forward Secrecy,Adopt,Techniques,FALSE,
Structured logging,Adopt,Techniques,TRUE,
Canary builds,Trial,Techniques,TRUE,
Dataensparsamkeit,Trial,Techniques,TRUE,
Front end instrumentation,Trial,Techniques,TRUE,
Hipster batch,Trial,Techniques,TRUE,
Humane registry,Trial,Techniques,FALSE,
Inverse Conway Maneuver,Trial,Techniques,FALSE,
Living CSS Style Guides,Trial,Techniques,FALSE,
Local storage sync,Trial,Techniques,TRUE,
NoPSD,Trial,Techniques,TRUE,
Partition infrastructure along team bounds,Trial,Techniques,TRUE,
REST without PUT,Trial,Techniques,FALSE,
Static site generators,Trial,Techniques,TRUE,
Tailored Service Template,Trial,Techniques,FALSE,
Append-only data store,Assess,Techniques,TRUE,
Blockchain beyond bitcoin,Assess,Techniques,TRUE,
Enterprise Data Lake,Assess,Techniques,TRUE,
Machine image pipelines,Assess,Techniques,FALSE,
Pace-layered Application Strategy,Assess,Techniques,TRUE,
Cloud life and shift,Hold,Techniques,FALSE,
Long lived branches with Gitflow,Hold,Techniques,TRUE,
Microservice envy,Hold,Techniques,TRUE,
Programming in your CI/CD tool,Hold,Techniques,TRUE,
SAFe,Hold,Techniques,TRUE,
Security sandwhich,Hold,Techniques,TRUE,
Separate DevOps team,Hold,Techniques,TRUE,
Testing as a separate organization,Hold,Techniques,FALSE,
Velocity as productivity,Hold,Techniques,TRUE,
DigitalOcean,Trial,Platforms,TRUE,
iBeacon,Trial,Platforms,FALSE,
Apache Mesos,Assess,Platforms,TRUE,
ARM Server SoC,Assess,Platforms,FALSE,
CoAP,Assess,Platforms,FALSE,
CoreOS,Assess,Platforms,TRUE,
EventStore,Assess,Platforms,FALSE,
Jackrabbit Oak,Assess,Platforms,TRUE,
Linux security modules,Assess,Platforms,TRUE,
Mapbox,Assess,Platforms,FALSE,
MariaDB,Assess,Platforms,TRUE,
Netflix OSS Full stack,Assess,Platforms,TRUE,
OpenAM,Assess,Platforms,TRUE,
OpenID Connect,Assess,Platforms,FALSE,
SDN,Assess,Platforms,TRUE,
Text it as a service / Rapidpro.io,Assess,Platforms,TRUE,
TOTP Two-Factor Authentication,Assess,Platforms,FALSE,
U2F,Assess,Platforms,TRUE,
CMS as a platform,Hold,Platforms,TRUE,
OSGi,Hold,Platforms,FALSE,
Flyway,Adopt,Tools,TRUE,
Go CD,Adopt,Tools,TRUE,
Appium,Trial,Tools,TRUE,
Boot2docker,Trial,Tools,TRUE,
Composer,Trial,Tools,TRUE,
Cursive,Trial,Tools,TRUE,
Docker,Trial,Tools,TRUE,
Foreman,Trial,Tools,FALSE,
GenyMotion,Trial,Tools,FALSE,
Gitlab,Trial,Tools,TRUE,
Grunt.js,Trial,Tools,TRUE,
IndexedDB,Trial,Tools,TRUE,
Packer,Trial,Tools,FALSE,
Pact & Pacto,Trial,Tools,FALSE,
Papertrail,Trial,Tools,TRUE,
Postman,Trial,Tools,TRUE,
SnapCI,Trial,Tools,FALSE,
Snowplot Analytics & Piwik,Trial,Tools,FALSE,
Swagger,Trial,Tools,TRUE,
Xamarin,Trial,Tools,TRUE,
Blackbox,Assess,Tools,TRUE,
Consul,Assess,Tools,FALSE,
Dc.js,Assess,Tools,TRUE,
Gorilla REPL,Assess,Tools,TRUE,
Gulp,Assess,Tools,TRUE,
leaflet.js,Assess,Tools,FALSE,
Mountebank,Assess,Tools,FALSE,
Packetbeat,Assess,Tools,TRUE,
Roslyn,Assess,Tools,FALSE,
Spark,Assess,Tools,FALSE,
Terraform,Assess,Tools,TRUE,
Citrix for development,Hold,Tools,TRUE,
Go language,Adopt,languages-and-frameworks,FALSE,
Java 8,Adopt,languages-and-frameworks,FALSE,
AngularJS,Trial,languages-and-frameworks,TRUE,
Core Async,Trial,languages-and-frameworks,FALSE,
Dashing,Trial,languages-and-frameworks,TRUE,
Django REST,Trial,languages-and-frameworks,TRUE,
HAL,Trial,languages-and-frameworks,FALSE,
Ionic Framework,Trial,languages-and-frameworks,TRUE,
Nashorn,Trial,languages-and-frameworks,TRUE,
Om,Trial,languages-and-frameworks,TRUE,
Q & Bluebird,Trial,languages-and-frameworks,FALSE,
R as Compute Platform,Trial,languages-and-frameworks,FALSE,
Retrofit,Trial,languages-and-frameworks,TRUE,
Flight.js,Assess,languages-and-frameworks,TRUE,
Haskell Hadoop library,Assess,languages-and-frameworks,TRUE,
Lotus,Assess,languages-and-frameworks,TRUE,
React.js,Assess,languages-and-frameworks,TRUE,
Reagent,Assess,languages-and-frameworks,TRUE,
Rust,Assess,languages-and-frameworks,FALSE,
Spring Boot,Assess,languages-and-frameworks,FALSE,
Swift,Assess,languages-and-frameworks,TRUE,
JSF,Hold,languages-and-frameworks,FALSE,
