name,ring,quadrant,isNew,hasMovedIn,hasMovedOut,description
API expand-contract,Adopt,Techniques,TRUE,FALSE,FALSE,
Continuous delivery for machine learning (CD4ML),Adopt,Techniques,FALSE,TRUE,FALSE,
Design systems,Adopt,Techniques,FALSE,TRUE,FALSE,
Platform engineering product teams,Adopt,Techniques,FALSE,TRUE,FALSE,
Service account rotation approach ,Adopt,Techniques,TRUE,FALSE,FALSE,
Cloud sandboxes,Trial,Techniques,TRUE,FALSE,FALSE,
Contextual bandits,Trial,Techniques,TRUE,FALSE,FALSE,
Distroless Docker images,Trial,Techniques,FALSE,FALSE,FALSE,
Ethical Explorer,Trial,Techniques,TRUE,FALSE,FALSE,
Hypothesis-driven legacy renovation,Trial,Techniques,TRUE,FALSE,FALSE,
Lightweight approach to RFCs,Trial,Techniques,TRUE,FALSE,FALSE,
Simplest possible ML,Trial,Techniques,TRUE,FALSE,FALSE,
SPA injection,Trial,Techniques,TRUE,FALSE,FALSE,
Team cognitive load,Trial,Techniques,TRUE,FALSE,FALSE,
Tool-managed Xcodeproj,Trial,Techniques,TRUE,FALSE,FALSE,
UI/BFF shared types ,Trial,Techniques,TRUE,FALSE,FALSE,
Bounded low-code platforms,Assess,Techniques,FALSE,FALSE,FALSE,
Decentralized identity,Assess,Techniques,FALSE,FALSE,FALSE,
Deployment drift radiator,Assess,Techniques,TRUE,FALSE,FALSE,
Homomorphic encryption,Assess,Techniques,TRUE,FALSE,FALSE,
Hotwire,Assess,Techniques,TRUE,FALSE,FALSE,
Import maps for micro frontends,Assess,Techniques,TRUE,FALSE,FALSE,
Open Application Model (OAM),Assess,Techniques,FALSE,FALSE,FALSE,
Privacy-focused web analytics,Assess,Techniques,TRUE,FALSE,FALSE,
Remote mob programming ,Assess,Techniques,TRUE,FALSE,FALSE,
Secure multiparty computing ,Assess,Techniques,TRUE,FALSE,FALSE,
GitOps,Hold,Techniques,TRUE,FALSE,FALSE,
Layered platform teams,Hold,Techniques,TRUE,FALSE,FALSE,
Naive password complexity requirements,Hold,Techniques,TRUE,FALSE,FALSE,
Peer review equals pull request,Hold,Techniques,TRUE,FALSE,FALSE,
SAFeTM,Hold,Techniques,FALSE,FALSE,FALSE,
