name,ring,quadrant,isNew,status,description
Consumer-driven contract testing,adopt,techniques,FALSE,no change,"<p>When two independently developed services are collaborating, changes to the supplier’s API can cause failures for all its consumers. Consuming services usually cannot test against live suppliers since such tests are slow and <a href=""http://martinfowler.com/articles/nonDeterminism.html#RemoteServices"">brittle</a>, so it’s best to use <a href=""http://martinfowler.com/bliki/TestDouble.html"">Test Doubles</a>, leading to the danger that the test doubles get out of sync with the real supplier service. Consumer teams can protect themselves from these failures by using <a href=""http://martinfowler.com/bliki/IntegrationContractTest.html"">integration contract tests</a> – tests that compare actual service responses with test values. While such contract tests are valuable, they are even more useful when consuming services provide these tests to the supplier, who can then run all their consumers’ contract tests to determine if their changes are likely to cause problems – adopting <a href=""http://www.martinfowler.com/articles/consumerDrivenContracts.html"">consumer-driven contracts</a>. Such <strong>consumer-driven contract tests</strong> are an essential part of a mature <a href=""http://martinfowler.com/articles/microservice-testing/"">microservice testing</a> portfolio.</p>"
Decoupling deployment from release,adopt,techniques,TRUE,new,""
Generated infrastructure diagrams,adopt,techniques,FALSE,no change,"<p>When we need a diagram that describes the current infrastructure or physical architecture we usually take to our favorite technical diagramming tool. If you are using the cloud or virtualization technologies this no longer makes sense, we can use the provided APIs to interrogate the actual infrastructure and generate a live, <strong>automated infrastructure diagram</strong> using simple tools like <a href=""http://www.graphviz.org/"">GraphViz</a> or by outputting SVG.</p>"
NoPSD,adopt,techniques,FALSE,moved in,"<p>'Just In Time Design' is an important and useful concept for visual design that the <a href=""https://www.thoughtworks.com/p2magazine/issue02/continuous-design/""><strong>NoPSD</strong></a> movement attempts to capture. You don't need to design the whole application or every UI element up front. Design things as you need them with as lightweight tools as you can use. We have seen a corresponding growth in simpler tools with faster learning curves, such as <a href=""http://www.sketchapp.com/""><strong>Sketch</strong></a>, as well as an increasing return to pen-and-paper (especially when paired with an existing robust <a href=""https://www.thoughtworks.com/radar/techniques/living-css-style-guides""><strong>digital style guide</strong></a>). Because of the limitations of flat mock-ups when you’re designing for screens, creating prototypes of varying fidelity with tools such as <a href=""http://www.invisionapp.com/""><strong>Invision</strong></a>, <a href=""http://framerjs.com/""><strong>FramerJS</strong></a> and <strong>Origami</strong> - or simply HTML/CSS and a bit of JavaScript - has also become increasingly common and valuable for communicating design intent.</p>"
Products over projects,adopt,techniques,FALSE,moved in,""
Threat modeling,adopt,techniques,FALSE,moved in,"<p>With the number of high-profile security breaches in the past months, software development teams no longer need convincing that they must place an emphasis on writing secure software and dealing with their users’ data in a responsible way. The teams face a steep learning curve, though, and the vast number of potential threats - ranging from organized crime and government spying to teenagers who attack systems 'for the lulz' can be overwhelming. <a href=""https://www.owasp.org/index.php/Category:Threat_Modeling""><strong>Threat modeling</strong></a> provides a set of techniques, mostly from a defensive perspective, that help you understand and classify potential threats. Turned into 'evil-user stories', threat models can give a team a manageable and effective approach to making their systems more secure.</p>"
BEM,trial,techniques,TRUE,new,"<p>Debugging CSS problems can be painful. How many times have you had to trawl through thousands of overridden styles to work out the source of your problem? This has led many of our teams to introduce various guidelines such as avoiding cascading and overrides, making styles opt-in and emphasizing thoughtful naming. <a href=""http://getbem.com/""><strong>BEM</strong></a> is a simple CSS naming convention (standing for Block, Element, Modifier) that helps give semantic clarity and structure to your CSS. By using BEM, it becomes much easier to understand which CSS rules are influencing the appearance of an element and, more importantly, the intent of those rules. This approach can be seen as moving the OO lesson of favoring composition over inheritance to the world of CSS.</p>"
BFF - Backend for frontends,trial,techniques,TRUE,new,""
Docker for builds,trial,techniques,TRUE,new,"<p>One of the many innovative uses of <a href=""https://www.docker.com/"">Docker</a> that we’ve seen on our projects is a technique to manage build-time dependencies. In the past, it was common to run build agents on an OS, augmented with dependencies needed for the target build. But with Docker it is possible to run the compilation step in an isolated environment complete with dependencies without contaminating the build agent. This technique of using <strong>Docker for builds</strong>  has proven particularly useful for compiling Golang binaries, and the <a href=""https://github.com/CenturyLinkLabs/golang-builder"">golang-builder</a> container is available for this very purpose.</p>"
Event Storming,trial,techniques,TRUE,new,"<p><a href=""http://ziobrando.blogspot.be/2013/11/introducing-event-storming.html""><strong>Event Storming</strong></a> is a useful way to do rapid “outside-in” domain modeling: starting with the events that occur in the domain rather than a static data model. Run as a facilitated workshop, it focuses on discovering key domain events, placing them along a timeline, identifying their triggers and then exploring their relationships. This approach is particularly useful for people taking a CQRS or <a href=""https://www.thoughtworks.com/radar/techniques/event-sourcing"">Event Sourcing</a> approach. Getting the right people in the room is important - a blend of business and technical people who bring both the questions and the answers. Ensuring that you have enough wall space for modeling is the second key to success. Look to discover the big picture, with the goal of collectively understanding the domain in all of its complexity, before diving into solutions.</p>"
Flux,trial,techniques,FALSE,moved in,""
Idempotency filter,trial,techniques,TRUE,new,""
iFrames for sandboxing,trial,techniques,TRUE,new,""
NPM for all the things,trial,techniques,TRUE,new,""
Offline first web applications,trial,techniques,FALSE,no change,"<p><strong>Offline first web applications</strong> provide the ability to design web applications for offline access by employing caching and updating mechanisms. The implementation requires a flag in the DOM to check whether the accessing device is offline or online, accessing local storage when offline, and synchronising data when online. All the major browsers now support an offline mode, which bootstraps the process of downloading and caching the resources such as HTML, CSS, JavaScript, images and other kinds of resources. There are some tools which help simplify offline first implementation such as <a href=""http://hood.ie/""><strong>Hoodie</strong></a>, and <a href=""http://couchdb.apache.org/""><strong>CouchDB</strong></a> also offers ability to work with a locally deployed application on a local data storage.</p>"
Phoenix Environments,trial,techniques,FALSE,moved in,""
QA in production,trial,techniques,TRUE,new,""
Accumulate-only data,assess,techniques,FALSE,no change,"<p>Immutable data structures are becoming more popular, with functional languages such as Clojure and Scala providing immutability by default. Immutability allows code to be more easily written, read and reasoned about. Using an <strong>accumulate-only data store</strong> can confer some of these benefits in the database layer, as well as make audit and historical querying simple. Implementation options vary, from specific accumulative data stores such as <a href=""http://www.datomic.com/"">Datomic</a> to simply using an “append-don’t-update” approach with a traditional database. <strong>Accumulate-only</strong> is a design strategy whereby data is removed via retraction rather than update; <strong>append-only</strong> is an implementation technique.</p>"
Bug bounties,assess,techniques,TRUE,new,"<p>More and more organizations are starting to use <strong>bug bounties</strong> to encourage reporting of what are often security-related bugs, and in general help improve the quality of their software. To support these programs, companies like <a href=""https://hackerone.com/"">HackerOne</a> and <a href=""https://bugcrowd.com/"">BugCrowd</a> can help organizations manage this process more easily. We have limited experience with these offerings ourselves, but we like the idea of encouraging people to help come forward and highlight what can often be damaging vulnerabilities in an open and transparent way. It's worth noting that there might be some legal issues with encouraging users to find vulnerabilities in your software, so please do check that out first.</p>"
Data Lake,assess,techniques,FALSE,no change,"<p>A <a href=""http://martinfowler.com/bliki/DataLake.html""><strong>Data Lake</strong></a> is an immutable data store of largely unprocessed 'raw' data, acting as a source for data analytics. Whereas the more familiar Data Warehouse filters and processes the data before storing it, the lake just captures the raw data, leaving it to the users of that data to carry out the particular analysis that they need. Examples include HDFS or HBase within a <a href=""https://hadoop.apache.org/"">Hadoop</a>, <a href=""http://spark.apache.org/"">Spark</a> or <a href=""https://storm.apache.org/"">Storm</a> processing framework. Usually only a small group of data scientists work on the raw data, developing streams of processed data into lakeshore data marts for most users to query. A Data Lake should only be used for analytics and reporting. For collaboration between operational systems we prefer using services designed for that purpose.</p>"
Hosted IDE's,assess,techniques,TRUE,new,""
Monitoring of invariants,assess,techniques,TRUE,new,""
