name,ring,quadrant,isNew,hasMovedIn,hasMovedOut,description
Decoupling deployment from release,adopt,techniques,FALSE,FALSE,FALSE,"<p>Implementing <a href=""http://martinfowler.com/bliki/ContinuousDelivery.html"">Continuous Delivery</a> continues to be a challenge for many organizations, and it remains important to highlight useful techniques such as <strong>decoupling deployment from release</strong>. We recommend strictly using the term <em>Deployment</em> when referring to the act of deploying a change to application components or infrastructure. The term <em>Release</em> should be used when a feature change is released to end users, with a business impact. Using techniques such as feature toggles and dark launches, we can deploy changes to production systems more frequently without releasing features. More-frequent deployments reduce the risk associated with change, while business stakeholders retain control over when features are released to end users.</p>"
Products over projects,adopt,techniques,FALSE,FALSE,FALSE,"<p>We’ve long been championing the idea that thinking of software development as a project - something budgeted and delivered during a limited time slot - doesn’t fit the needs of the modern business. Important software efforts need to be an ongoing product that supports and rethinks the business process it is supporting. Such efforts are not complete until the business process, and its software, cease to be useful. Our observation of this <strong>products over projects</strong> approach, both with our own projects and outside, makes us determine that it is the approach to use for all but exceptional cases.</p>"
Threat modeling,adopt,techniques,FALSE,FALSE,FALSE,""
BFF - Backend for frontends,trial,techniques,FALSE,FALSE,FALSE,"<p>Valuable services support many variations in clients, such as mobile versus web and different forms of web interface. It’s tempting to design a single back-end API to support all clients with a reusable API. But client needs vary, as do constraints such as bandwidth for mobile devices versus the desire for lots of data on fast web connections. Consequently it’s often best to <strong>define different back-end services for each kind of front-end</strong> client. These back ends should be developed by teams aligned with each front end to ensure that each back end properly meets the needs of its client.</p>"
Bug bounties,trial,techniques,FALSE,TRUE,FALSE,""
Data Lake,trial,techniques,FALSE,TRUE,FALSE,""
Event Storming,trial,techniques,FALSE,FALSE,FALSE,"<p><a href=""http://ziobrando.blogspot.be/2013/11/introducing-event-storming.html""><strong>Event Storming</strong></a> is a useful way to do rapid ""outside-in"" domain modeling: starting with the events that occur in the domain rather than a static data model. Run as a facilitated workshop, it focuses on discovering key domain events, placing them along a timeline, identifying their triggers and then exploring their relationships. This approach is particularly useful for people taking an <a href=""https://www.thoughtworks.com/radar/techniques/event-sourcing"">Event Sourced</a> approach. Getting the right people in the room is important - a blend of business and technical people who bring both the questions and the answers. Ensuring that you have enough wall space for modeling is the second key to success. Look to discover the big picture, with the goal of collectively understanding the domain in all of its complexity, before diving into solutions.</p>"
Flux,trial,techniques,FALSE,FALSE,FALSE,"<p><a href=""https://facebook.github.io/flux/""><strong>Flux</strong></a> is an application architecture introduced by Facebook. Usually mentioned in conjunction with <strong>React.js</strong> , Flux is based on a one-way flow of data up through the rendering pipeline. Flux embraces the modern web landscape of client-side JavaScript applications in a way that avoids the venerable MV* clichés. ThoughtWorks teams are now starting to gain some experience with this architectural style and find that it meshes well with service orientation and solves some of the problems inherent in two-way data binding.</p>"
Idempotency filter,trial,techniques,FALSE,FALSE,FALSE,"<p>Many services, especially legacy services, are written with the assumption that any request will occur only once. Networks being what they are, this can be difficult to arrange. An <strong>idempotency filter</strong> is a simple component that merely checks for duplicate requests and ensures that they are sent to the supplier service only once. Such a filter should do only this one task and be used as a decorator over existing service calls.</p>"
NPM for all the things,trial,techniques,FALSE,FALSE,FALSE,"<p>The JavaScript world has a plethora of dependency and package-management tools, all of which rely on the Node Package Manager (NPM). Teams are starting to see these extra tools as redundant and are recommending that if you can use solely NPM for package and dependency management, you should. The simplification of using <strong>NPM for all the things</strong> helps reduce some of the churn in the JavaScript tools space.</p>"
Phoenix Environments,trial,techniques,FALSE,FALSE,FALSE,"<p>The time taken to provision and update environments continues to be a significant bottleneck on many software projects. Phoenix Environments can help with this delay by extending the idea of <a href=""http://martinfowler.com/bliki/PhoenixServer.html"">Phoenix Servers</a> to cover entire environments. We feel this is such a valuable and time-saving technique that you should consider trialing this approach. Using automation, we can create whole environments - including network configuration, load balancing and firewall ports - for example by using <a href=""https://aws.amazon.com/cloudformation/""><strong>CloudFormation</strong></a> in AWS. We can then prove that the process works by tearing the environments down and recreating them from scratch on a regular basis. <strong>Phoenix Environments</strong> can support provisioning new environments for testing, development, UAT and disaster recovery. As with Phoenix Servers, this pattern is not always applicable, and we need to think carefully about things like state and dependencies. Treating the whole environment as a <a href=""http://martinfowler.com/bliki/BlueGreenDeployment.html"">blue/green deployment</a> can be one approach when environment reconfiguration needs to be done.</p>"
QA in production,trial,techniques,FALSE,FALSE,FALSE,"<p>Traditionally, QA roles have focused on assessing the quality of a software product in a pre-production environment. With the rise of Continuous Delivery, the QA role is shifting to include analyzing software product quality in production. This involves monitoring of the production systems, coming up with alert conditions to detect urgent errors, determining ongoing quality issues and figuring out what measurements you can use in the production environment to make this work. While there is a danger that some organizations will go too far and neglect pre-production QA, our experience shows that <strong>QA in production</strong> is a valuable tool for organizations that have already progressed to a reasonable degree of Continuous Delivery.</p>"
Reactive architectures,trial,techniques,FALSE,TRUE,FALSE,""
iFrames for sandboxing,trial,techniques,FALSE,FALSE,FALSE,"<p>Modern web pages tend to contain a plethora of JavaScript widgets and snippets coming from a variety of third-party sources. This can have a negative impact on both security and performance. While we are still waiting for fuller JavaScript isolation with web components, our teams have benefited from using HTML5 <a href=""http://www.html5rocks.com/en/tutorials/security/sandboxed-iframes/""><strong>iFrames for sandboxing</strong></a> untrusted JavaScript.</p>"
Content Security Policies,assess,techniques,TRUE,FALSE,FALSE,""
Hosted IDE's,assess,techniques,FALSE,FALSE,FALSE,"<p>Many organizations want to leverage distributed or offshore development but have security concerns with their code and other intellectual property sitting outside their control. The result is often to use high-latency remote-desktop solutions for development, adhering to an organization’s security controls but crippling developer productivity. An alternative is to use a <strong>Hosted IDE</strong> delivered to a browser via VPN. The IDE, code and build environment are hosted within the organization's private cloud, easing security concerns, and the developer experience is significantly improved. Tools in this space include <a href=""https://orionhub.org/"">Orion</a> and <a href=""http://www.eclipse.org/che/"">Che</a> from the Eclipse Foundation, <a href=""https://c9.io/"">Cloud9</a> and <a href=""https://codenvy.com/"">Code Envy</a>.</p>"
