name,ring,quadrant,isNew,description
Lightweight Architecture Decision Records ,Adopt,Techniques,FALSE,
Applying product management to internal platforms,Trial,Techniques,TRUE,
Architectural fitness function,Trial,Techniques,TRUE,
Autonomous bubble pattern,Trial,Techniques,TRUE,
Chaos Engineering ,Trial,Techniques,TRUE,
Decoupling secret management from source code,Trial,Techniques,FALSE,
DesignOps,Trial,Techniques,TRUE,
Legacy in a box,Trial,Techniques,FALSE,
Micro frontends ,Trial,Techniques,FALSE,
Pipelines for infrastructure as code,Trial,Techniques,TRUE,
Serverless architecture,Trial,Techniques,FALSE,
TDDÕing containers ,Trial,Techniques,TRUE,
Algorithmic IT operations,Assess,Techniques,TRUE,
Ethereum for decentralized applications,Assess,Techniques,TRUE,
Event streaming as the source of truth ,Assess,Techniques,TRUE,
Platform engineering product teams,Assess,Techniques,FALSE,
Polycloud,Assess,Techniques,TRUE,
Service mesh,Assess,Techniques,TRUE,
Sidecars for endpoint security,Assess,Techniques,TRUE,
The three Rs of security ,Assess,Techniques,TRUE,
A single CI instance for all teams,Hold,Techniques,FALSE,
CI theatre,Hold,Techniques,FALSE,
Enterprise-wide integration test environments,Hold,Techniques,FALSE,
Recreating ESB antipatterns with Kafka,Hold,Techniques,TRUE,
Spec-based codegen ,Hold,Techniques,FALSE,
Kubernetes,Adopt,Platforms,FALSE,
.NET Core,Trial,Platforms,FALSE,
AWS Device Farm,Trial,Platforms,FALSE,
Flood IO,Trial,Platforms,TRUE,
Google Cloud Platform,Trial,Platforms,TRUE,
Keycloak,Trial,Platforms,FALSE,
OpenTracing,Trial,Platforms,FALSE,
Unity beyond gaming,Trial,Platforms,FALSE,
WeChat,Trial,Platforms,TRUE,
Azure Service Fabric,Assess,Platforms,TRUE,
Cloud Spanner,Assess,Platforms,TRUE,
Corda,Assess,Platforms,TRUE,
Cosmos DB,Assess,Platforms,TRUE,
DialogFlow,Assess,Platforms,FALSE,
GKE,Assess,Platforms,TRUE,
Hyperledger,Assess,Platforms,FALSE,
Kafka Streams,Assess,Platforms,FALSE,
Language Server Protocol,Assess,Platforms,TRUE,
LoRaWAN,Assess,Platforms,TRUE,
MapD,Assess,Platforms,TRUE,
Mosquitto,Assess,Platforms,FALSE,
Netlify,Assess,Platforms,TRUE,
PlatformIO,Assess,Platforms,FALSE,
TensorFlow Serving,Assess,Platforms,TRUE,
Voice platforms,Assess,Platforms,FALSE,
Windows Containers,Assess,Platforms,TRUE,
Overambitious API gateways,Hold,Platforms,FALSE,
fastlane,Adopt,Tools,FALSE,
Buildkite,Trial,Tools,TRUE,
CircleCI,Trial,Tools,TRUE,
gopass,Trial,Tools,TRUE,
Headless Chrome for front-end test,Trial,Tools,TRUE,
jsoniter,Trial,Tools,TRUE,
Prometheus,Trial,Tools,FALSE,
Scikit-learn,Trial,Tools,FALSE,
Serverless Framework,Trial,Tools,FALSE,
Apex,Assess,Tools,TRUE,
assertj-swagger,Assess,Tools,TRUE,
Cypress,Assess,Tools,TRUE,
flow,Assess,Tools,TRUE,
InSpec,Assess,Tools,FALSE,
Jupyter,Assess,Tools,TRUE,
Kong API Gateway,Assess,Tools,TRUE,
kops,Assess,Tools,TRUE,
Lighthouse,Assess,Tools,TRUE,
Rendertron,Assess,Tools,TRUE,
Sonobuoy,Assess,Tools,TRUE,
spaCy,Assess,Tools,FALSE,
Spinnaker,Assess,Tools,FALSE,
Spring Cloud Contract,Assess,Tools,TRUE,
Yarn,Assess,Tools,FALSE,
Python 3,Adopt,languages-and-frameworks,FALSE,
Angular,Trial,languages-and-frameworks,FALSE,
Assertj,Trial,languages-and-frameworks,TRUE,
Avro,Trial,languages-and-frameworks,FALSE,
CSS Grid Layout,Trial,languages-and-frameworks,TRUE,
CSS Modules,Trial,languages-and-frameworks,TRUE,
Jest,Trial,languages-and-frameworks,TRUE,
Kotlin,Trial,languages-and-frameworks,FALSE,
Spring Cloud,Trial,languages-and-frameworks,FALSE,
Android Architecture Components,Assess,languages-and-frameworks,TRUE,
ARKit/ARCore,Assess,languages-and-frameworks,TRUE,
Atlas and BeeHive,Assess,languages-and-frameworks,TRUE,
Caffe,Assess,languages-and-frameworks,FALSE,
Clara rules,Assess,languages-and-frameworks,TRUE,
CSS-in-JS,Assess,languages-and-frameworks,TRUE,
Digdag,Assess,languages-and-frameworks,TRUE,
Druid,Assess,languages-and-frameworks,TRUE,
Echarts,Assess,languages-and-frameworks,TRUE,
Gobot,Assess,languages-and-frameworks,TRUE,
Instana,Assess,languages-and-frameworks,FALSE,
Keras,Assess,languages-and-frameworks,FALSE,
LeakCanary,Assess,languages-and-frameworks,TRUE,
PostCSS,Assess,languages-and-frameworks,FALSE,
PyTorch,Assess,languages-and-frameworks,TRUE,
single-spa,Assess,languages-and-frameworks,TRUE,
Solidity,Assess,languages-and-frameworks,TRUE,
TensorFlow Mobile,Assess,languages-and-frameworks,TRUE,
Truffle,Assess,languages-and-frameworks,TRUE,
Weex,Assess,languages-and-frameworks,TRUE,
