name,ring,quadrant,isNew,hasMovedIn,hasMovedOut,description
Four key metrics,Adopt,Techniques,FALSE,FALSE,FALSE","<p>To measure software delivery performance, more and more organizations are defaulting to the <strong>four key metrics</strong> as defined by the <a href="https://www.devops-research.com/" target="_blank">DORA research</a> program: change lead time, deployment frequency, mean time to restore (MTTR) and change fail percentage. This research and its statistical analysis have shown a clear link between high-delivery performance and these metrics; they provide a great leading indicator for how a delivery organization as a whole is doing.</p>"
Single team remote wall,Adopt,Techniques,FALSE,TRUE,FALSE,
Data mesh,Trial,Techniques,FALSE,FALSE,FALSE,
Definition of production readiness,Trial,Techniques,TRUE,FALSE,FALSE,
Documentation quadrants,Trial,Techniques,TRUE,FALSE,FALSE,
Rethinking remote standups,Trial,Techniques,TRUE,FALSE,FALSE,
Server-driven UI,Trial,Techniques,TRUE,FALSE,FALSE,
Software Bill of Materials,Trial,Techniques,FALSE,TRUE,FALSE,
Tactical forking,Trial,Techniques,TRUE,FALSE,FALSE,
Team cognitive load,Trial,Techniques,FALSE,FALSE,FALSE,
Transitional architecture,Trial,Techniques,TRUE,FALSE,FALSE,
CUPID,Assess,Techniques,TRUE,FALSE,FALSE,
Inclusive design,Assess,Techniques,TRUE,FALSE,FALSE,
Operator pattern for nonclustered resources,Assess,Techniques,FALSE,FALSE,FALSE,
Service mesh without sidecar,Assess,Techniques,TRUE,FALSE,FALSE,
SLSA,Assess,Techniques,TRUE,FALSE,FALSE,
The streaming data warehouse,Assess,Techniques,TRUE,FALSE,FALSE,
TinyML,Assess,Techniques,TRUE,FALSE,FALSE,
Azure Data Factory for orchestration,Hold,Techniques,FALSE,FALSE,FALSE,
Miscellaneous platform teams,Hold,Techniques,TRUE,FALSE,FALSE,
Production data in test environments,Hold,Techniques,FALSE,FALSE,FALSE,
SPA by default,Hold,Techniques,TRUE,FALSE,FALSE,
Azure DevOps,Trial,Platforms,FALSE,FALSE,FALSE,
Azure Pipeline templates,Trial,Platforms,TRUE,FALSE,FALSE,
CircleCI,Trial,Platforms,FALSE,FALSE,FALSE,
Couchbase,Trial,Platforms,FALSE,FALSE,FALSE,
eBPF,Trial,Platforms,FALSE,FALSE,FALSE,
GitHub Actions,Trial,Platforms,FALSE,FALSE,FALSE,
GitLab CI/CD,Trial,Platforms,TRUE,FALSE,FALSE,
Google BigQuery ML,Trial,Platforms,FALSE,TRUE,FALSE,
Google Cloud Dataflow,Trial,Platforms,FALSE,TRUE,FALSE,
Reusable workflows in Github actions,Trial,Platforms,TRUE,FALSE,FALSE,
Sealed Secrets,Trial,Platforms,FALSE,FALSE,FALSE,
VerneMQ,Trial,Platforms,TRUE,FALSE,FALSE,
actions-runner-controller,Assess,Platforms,TRUE,FALSE,FALSE,
Apache Iceberg,Assess,Platforms,TRUE,FALSE,FALSE,
Blueboat,Assess,Platforms,TRUE,FALSE,FALSE,
Cloudflare Pages,Assess,Platforms,TRUE,FALSE,FALSE,
Colima,Assess,Platforms,TRUE,FALSE,FALSE,
Collibra,Assess,Platforms,TRUE,FALSE,FALSE,
CycloneDX,Assess,Platforms,TRUE,FALSE,FALSE,
Embeddinghub,Assess,Platforms,TRUE,FALSE,FALSE,
Temporal ,Assess,Platforms,TRUE,FALSE,FALSE,
tfsec ,Adopt,Tools,FALSE,TRUE,FALSE,
AKHQ,Trial,Tools,TRUE,FALSE,FALSE,
cert-manager,Trial,Tools,FALSE,TRUE,FALSE,
Cloud Carbon Footprint,Trial,Tools,FALSE,TRUE,FALSE,
Conftest,Trial,Tools,FALSE,TRUE,FALSE,
kube-score,Trial,Tools,TRUE,FALSE,FALSE,
Lighthouse,Trial,Tools,FALSE,TRUE,FALSE,
Metaflow,Trial,Tools,TRUE,FALSE,FALSE,
Micrometer,Trial,Tools,TRUE,FALSE,FALSE,
NUKE,Trial,Tools,TRUE,FALSE,FALSE,
Pactflow,Trial,Tools,FALSE,TRUE,FALSE,
Podman,Trial,Tools,FALSE,TRUE,FALSE,
Sourcegraph,Trial,Tools,FALSE,TRUE,FALSE,
Syft,Trial,Tools,TRUE,FALSE,FALSE,
Volta,Trial,Tools,TRUE,FALSE,FALSE,
Web Test Runner ,Trial,Tools,TRUE,FALSE,FALSE,
CDKTF,Assess,Tools,TRUE,FALSE,FALSE,
Chrome Recorder panel,Assess,Tools,TRUE,FALSE,FALSE,
Excalidraw,Assess,Tools,TRUE,FALSE,FALSE,
GitHub Codespaces,Assess,Tools,TRUE,FALSE,FALSE,
GoReleaser,Assess,Tools,TRUE,FALSE,FALSE,
Grype,Assess,Tools,TRUE,FALSE,FALSE,
Infracost,Assess,Tools,TRUE,FALSE,FALSE,
jc,Assess,Tools,TRUE,FALSE,FALSE,
skopeo,Assess,Tools,TRUE,FALSE,FALSE,
SQLFluff,Assess,Tools,TRUE,FALSE,FALSE,
