name,ring,quadrant,isNew,description
Build pipelines,Adopt,Techniques,FALSE,
Emergent design,Adopt,Techniques,FALSE,
Evolutionary DB,Adopt,Techniques,FALSE,
Web as platform,Adopt,Techniques,FALSE,
Automation of technical tests,Trial,Techniques,TRUE,
Service choreography,Trial,Techniques,TRUE,
Lean software development,Trial,Techniques,FALSE,
Continuous deployment,Trial,Techniques,FALSE,
Visualization and metrics,Trial,Techniques,FALSE,
Polyglot programming,Trial,Techniques,TRUE,
Incremental data warehousing,Assess,Techniques,FALSE,
OAuth,Assess,Techniques,TRUE,
Scrum certification,Hold,Techniques,TRUE,
IE6 End of Life,Adopt,Platforms,FALSE,
Platform roadmaps,Adopt,Platforms,TRUE,
ALT.NET,Adopt,Platforms,TRUE,
iPhone,Adopt,Platforms,FALSE,
Cloud,Adopt,Platforms,FALSE,
JVM as platform,Adopt,Platforms,FALSE,
android,Trial,Platforms,FALSE,
EC2 & S3,Trial,Platforms,FALSE,
Location based services,Assess,Platforms,FALSE,
Large format mobile devices,Assess,Platforms,TRUE,
Facebook as business platform,Assess,Platforms,TRUE,
Google as corporate platform,Assess,Platforms,FALSE,
Application appliances,Assess,Platforms,TRUE,
Google App Engine,Assess,Platforms,FALSE,
mobile web,Assess,Platforms,TRUE,
Rich Internet Applications,Hold,Platforms,FALSE,
Azure,Hold,Platforms,FALSE,
GWT,Hold,Platforms,TRUE,
IE8,Hold,Platforms,FALSE,
WS-* beyond basic profile,Hold,Platforms,TRUE,
ASP.NET MVC,Adopt,Tools,FALSE,
Subversion,Adopt,Tools,FALSE,
Squid,Adopt,Tools,TRUE,
Message buses without smarts,Trial,Tools,TRUE,
Next-gen test tools,Trial,Tools,FALSE,
Neo4j,Trial,Tools,TRUE,
mongoDB,Trial,Tools,TRUE,
Distributed version control,Trial,Tools,FALSE,
NoSQL,Assess,Tools,FALSE,
RDF triple stores,Assess,Tools,FALSE,
restfulie,Assess,Tools,TRUE,
Visualizations for business data,Assess,Tools,TRUE,
GitHub,Assess,Tools,TRUE,
Cross mobile platforms,Assess,Tools,TRUE,
ESB,Hold,Tools,TRUE,
Language workbenches,Hold,Tools,FALSE,
C# 4.0,Adopt,languages-and-frameworks,FALSE,
Ruby/Jruby,Adopt,languages-and-frameworks,TRUE,
JavaScript as a first-class language,Adopt,languages-and-frameworks,FALSE,
DSLs,Trial,languages-and-frameworks,FALSE,
Groovy,Trial,languages-and-frameworks,TRUE,
Java language end of life,Assess,languages-and-frameworks,FALSE,
F#,Assess,languages-and-frameworks,FALSE,
Clojure,Assess,languages-and-frameworks,FALSE,
Scala,Assess,languages-and-frameworks,FALSE,
HTML 5,Assess,languages-and-frameworks,FALSE,
